1	1.328e-06
2	1.398e-06
3	1.062e-06
4	1.144e-06
5	1.359e-06
6	1.585e-06
7	1.804e-06
8	2.082e-06
9	2.326e-06
10	2.574e-06
11	1.074e-05
12	5.992e-06
13	6.878e-06
14	6.986e-06
15	8.335e-06
16	5.962e-06
17	9.282e-06
18	6.122e-06
19	6.506e-06
20	4.912e-05
21	1.062e-05
22	8.581e-06
23	9.174e-06
24	9.575e-06
25	9.835e-06
26	1.008e-05
27	1.050e-05
28	1.079e-05
29	1.082e-05
30	3.794e-05
31	1.150e-05
32	1.173e-05
33	5.948e-05
34	3.299e-05
35	1.291e-05
36	1.307e-05
37	1.349e-05
38	1.360e-05
39	1.383e-05
40	1.418e-05
41	1.446e-05
42	1.479e-05
43	1.514e-05
44	1.538e-05
45	1.584e-05
46	4.256e-05
47	1.601e-05
48	3.560e-05
49	1.701e-05
50	1.716e-05
55	2.488e-05
60	6.386e-05
65	3.873e-05
70	2.303e-05
75	2.512e-05
80	2.756e-05
85	3.103e-05
90	3.363e-05
95	3.468e-05
100	3.604e-05
110	4.477e-05
120	7.509e-05
130	4.766e-05
140	5.201e-05
150	5.614e-05
160	5.843e-05
170	9.131e-05
180	8.246e-05
190	7.249e-05
200	7.540e-05
220	1.521e-04
240	1.417e-04
260	1.508e-04
280	1.361e-04
300	1.164e-04
320	1.404e-04
340	1.549e-04
360	1.846e-04
380	1.886e-04
400	1.658e-04
420	4.045e-04
440	2.853e-04
460	2.457e-04
480	1.960e-04
500	2.083e-04
520	2.129e-04
540	3.219e-04
560	2.709e-04
580	2.377e-04
600	2.667e-04
620	2.687e-04
640	2.579e-04
660	3.098e-04
680	2.763e-04
700	2.824e-04
720	2.954e-04
740	3.197e-04
760	3.123e-04
780	3.239e-04
800	3.488e-04
